Response Received Date,Overall Experience,Person Identifier,,What Issues,"Incorrect, Duplicate, and/or Missing Items?",Damaged Items?,Haven't Received Package?,Order Delivered Late?,Other Issue?,What could we improve,What was great,Additional Comments,Any Issues,Arrival Time,Tracking,Campaign,Survey Details
12/27/2022 12:16,Satisfied,71874804_2022_03_y,,,,,,,,"One of my students placed an order the day after my deadline. Scholastic allowed them to place the order, so I submitted their order the next day. That was on December the 7th. The order still says ""processing"". My order that I placed on December 6th arrived to my school on December 21st. I am disappointed that the second order is still just processing and concerned about it arriving to my student.",,"I submitted something about my second order that is processing, but have not heard anything back yet.",No,No,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828518302_24394
12/27/2022 11:58,Very Satisfied,71826808_2022_03_a,,,,,,,,,Quick shipping was much better!!,,No,Yes,Yes,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828193686_2906
12/27/2022 11:56,Very Dissatisfied,71894214_2022_04_j,,,,,,,,Never received books,,Order has not arrived. No Christmas gifts for students.,No,No,No,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828272308_8698
12/27/2022 11:54,Satisfied,71801412_2022_03_n,,,,,,,,"Bring back the $1 books each month, many kids do not have money to buy books and that gave them the opportunity to buy a book.",,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828266297_8074
12/27/2022 11:39,Neutral,71835097_2022_04_x,,My items are damaged.,,Damaged Items,,,,One of the book covers was practically ripped off because another book was jammed inside it.,,,Yes,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828422680_17754
12/27/2022 11:39,Satisfied,71849374_2022_03_i,,,,,,,,I had a few books on a wish list for a month. When I finally got enough money for me to order them they were no longer available. I did not want to pay extra shipping at the time as my budget as a teacher is so limited. I appreciate the lower prices so I can buy books for my classroom though!,,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828142630_247
12/27/2022 11:34,Somewhat Dissatisfied,71896714_2022_04_x,,,,,,,,It took an excessive amount of time for my books to be delivered. They arrived 2 days after Christmas even though I ordered them in plenty of time to be delivered before.,,,No,No,Yes,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828272193_8620
12/27/2022 11:30,Very Satisfied,71874091_2022_06_3,,,,,,,,,I have always had great service from Scholastic (the issues with the pandemic were not Scholastic's fault).,"The delay was weather related once it got to my local post office. Again, that is not Scholastics fault. I actually did not get it from my post office until 12/22. Weather related or not, we have had ongoing issues with the local post office since this past summer. When I say ""we"" I mean everyone who gets mail through this zip code.  So my package did arrive at the post office when it was promised.",No,Yes,Yes,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828294555_10227
12/27/2022 11:26,Very Dissatisfied,71850817_2022_04_j,,,,,,,,"when I emailed regarding my box, I could see that it was just sitting between UPS and USPS waiting for days to be accepted by USPS and nothing was done. I had to wait until the 23rd.  It's past the 23rd and it is still sitting somewhere.  I understand it is the holidays, but I wish the box would have been sent with just one carrier instead of multiple carries.",,,No,No,No,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828161206_915
12/27/2022 11:24,Very Satisfied,71818207_2022_03_g,,,,,,,,,"Easy ordering process online, quick delivery",Thank you!,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828193750_2983
12/27/2022 11:22,Somewhat Dissatisfied,71824071_2022_03_x,,,,,,,,This is the 2nd time this year that my package has been lost in the mail and I've had to call to get my order re-sent.,,,No,No,No,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828316679_11766
12/27/2022 11:18,Very Satisfied,71830812_2022_08_1,,,,,,,,,"easy to order, efficient, good selection of books, order arrived quickly",So glad delivery is back to normal.  We love ordering from Scholastic!,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828237955_6026
12/27/2022 11:16,Very Satisfied,71831803_2022_04_y,,,,,,,,,Parents are beginning to realize the order delivery is getting back to normal.,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828450932_19823
12/27/2022 11:13,Very Satisfied,71824646_2022_08_1,,,,,,,,,Easy ordering and fast delivery,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828268980_8346
12/27/2022 10:59,Very Satisfied,71862011_2022_04_x,,,,,,,,,The whole experience has been easy and hassle free,,No,Yes,Yes,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828463016_20761
12/27/2022 10:59,Very Satisfied,71825947_2022_08_1,,,,,,,,,What made my experience great was how a person from customer service handled my inquiry about a missing order of books. It was handled professionally and swiftly; I received my box of books (for my 2nd grade students) quickly! Thank you!,"Just to ensure clarity, my first order was lost, but after I called customer service, the second box ordered arrived quickly! Thank you!",No,Yes,Yes,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828346058_13144
12/27/2022 10:55,Very Satisfied,71808120_2022_04_t,,,,,,,,,The package arrived before winter break!!!,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828411591_17112
12/27/2022 10:49,Satisfied,71853313_2022_04_j,,,,,,,,The package arrived later than expected.,,,No,No,Yes,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828143322_767
12/27/2022 10:32,Satisfied,71811286_2022_03_w,,,,,,,,"I was expecting the books to arrive a little earlier, one of my parents was delayed getting their box as well but you made it right with them.",,,No,No,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828222666_4895
12/27/2022 10:32,Satisfied,71831267_2022_08_1,,,,,,,,"Your packaging paperwork is the WORST EVER! PLEASE go back pre pandemic and use the old paperwork. I never get a bill, orders are messed up, print is too small...etc.",,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828226630_5128
12/27/2022 10:25,Very Satisfied,71889321_2022_04_x,,,,,,,,,The order arrived quickly!,,No,Yes,Yes,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828181298_2306
12/27/2022 10:24,Very Satisfied,71816239_2022_04_j,,,,,,,,,Orders arrive quickly,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828267947_8268
12/27/2022 10:22,Satisfied,71818023_2022_04_j,,,,,,,,,,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828348545_13477
12/27/2022 10:19,Very Satisfied,71816877_2022_04_y,,,,,,,,,Ordering is easy! The orders are always correct.,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828484178_21873
12/27/2022 10:16,Somewhat Dissatisfied,71845122_2022_04_j,,"My order was delivered late,My items are damaged.",,Damaged Items,,,,It took a long time to process the order. Glad my kiddos came one more day so we could get the gifts out.,,,Yes,No,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828256051_7322
12/27/2022 10:16,Somewhat Dissatisfied,71845122_2022_04_j,,"My order was delivered late,My items are damaged.",,,,Delivered Late,,It took a long time to process the order. Glad my kiddos came one more day so we could get the gifts out.,,,Yes,No,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828256051_7322
12/27/2022 10:10,Very Satisfied,71889989_2022_04_m,,,,,,,,,ease or ordering and quick delivery,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828245586_6547
12/27/2022 10:04,Very Dissatisfied,71863306_2022_04_j,,My order was delivered late,,,,Delivered Late,,"my order was delayed for almost a week before I received it.  Which of course was after school got out for the break, so my students did not get their book.",,I did track my package and it would say it was going to be delivered and then it never was,Yes,No,Yes,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828201397_3202
12/27/2022 10:03,Somewhat Dissatisfied,71831512_2022_04_k,,,,,,,,"I had a parent have to place her order THREE times before it actually came. And then it came twice, and she was told she had to return one. It was incredibly frustrating. It took a solid month for her to get anything.",,If teachers were able to see the shipping information for orders going to parents homes and order numbers it would be helpful for these situations.,No,No,No,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828450072_19623
12/27/2022 10:01,Satisfied,71820222_2022_03_k,,,,,,,,,,,No,No,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828438898_18853
12/27/2022 9:43,Somewhat Dissatisfied,71849404_2022_03_9,,,,,,,,You guys are great but my package STILL hasn't arrived. I ordered books for my class for Christmas presents and they still haven't come. I had to scrape together more books in time for the holidays. The postal service dropped the ball somewhere between Connecticut and Maine. You guys got it sent in time but the mail like lost my box.,,,No,No,Yes,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828507174_23506
12/27/2022 9:37,Satisfied,71891887_2022_03_j,,,,,,,,I will have my students deal directly with you online so I am not the middleman.,,none,No,Yes,Yes,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828499808_22923
12/27/2022 9:20,Very Satisfied,71849130_2022_03_n,,My items are damaged.,,Damaged Items,,,,,It was quickly fulfilled and delivered,,Yes,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828346464_13238
12/27/2022 9:17,Very Satisfied,71820000_2022_04_i,,,,,,,,,Very quick delivery!,Great job! :-),No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828346138_13199
12/27/2022 9:17,Somewhat Dissatisfied,71849021_2022_03_s,,,,,,,,Package didn't arrive in time.,,Tracking wasn't updating and I didn't receive the package on time which forced me to purchase items elsewhere. I was very disappointed.,No,No,No,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828518167_24244
12/27/2022 9:13,Very Satisfied,71840293_2022_03_y,,,,,,,,,Quick,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828162181_1420
12/27/2022 9:08,Very Satisfied,71836994_2022_04_x,,,,,,,,,It came quickly,I am happy with Scholastic.,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828181384_2343
12/27/2022 9:08,Very Dissatisfied,71894882_2022_04_j,,I have not received a package.,,,Haven't Received Package,,,I still haven't received this shipment. USPS has held it for over a week.,,,Yes,No,Yes,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828390479_16086
12/27/2022 9:04,Very Satisfied,71830286_2022_03_y,,,,,,,,,I received all the correct books.,Everything was great! I paid the extra to get my orders before the students left for break and they arrived in a timely manner.,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828259762_7666
12/27/2022 9:02,Very Satisfied,71823454_2022_03_n,,,,,,,,,Price of books and speed of delivery,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828332437_12488
12/27/2022 9:00,Very Satisfied,71830320_2022_04_k,,,,,,,,,Quick delivery,Much better than last year. Thank you!,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828193735_2973
12/27/2022 9:00,Very Satisfied,71897268_2022_03_k,,,,,,,,,,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828191064_2472
12/27/2022 8:59,Very Satisfied,71830656_2022_04_j,,,,,,,,,"We received our order in about 2 weeks with all of the books. Although it takes a little longer than it used to, we understand that everyone is in the same situation with delayed shipping.",,No,No,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828294580_10241
12/27/2022 8:56,Very Dissatisfied,71811061_2022_06_3,,,,,,,,I was very satisfied with my order.  I hope I did the correct response on previous question.  We received order quicker than I anticipated from what happened last year.,,I feel your service has improved a lot since this time last year.  Thank you!,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828244337_6471
12/27/2022 8:54,Somewhat Dissatisfied,71895761_2022_06_3,,My items are damaged.,,Damaged Items,,,,"When my box arrived, one of the books inside had two books wedged between the pages and the cover was bent when the box was closed. The entire book is bent out of shape.",,"I am fine with the late arrival as there was a terrible storm. I am frustrated with how the box was packed. It isn't something that would have happened in transit. It wouldn't be as big of a deal if it wasn't a soft cover novel, but the book is bent badly.",Yes,No,Yes,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828456451_20087
12/27/2022 8:53,Very Satisfied,71822788_2022_03_s,,,,,,,,,Ease of use and fast delivery,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828216665_4656
12/27/2022 8:45,Very Satisfied,71817869_2022_03_9,,,,,,,,,delivered quickly,We always have positive experience. Thank you!,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828495629_22664
12/27/2022 8:45,Very Satisfied,71859190_2022_04_x,,,,,,,,,Ease of use of site - delivery was quick !,Keep doing what you are doing ! Delivery is so much better this year !,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828405828_16893
12/27/2022 8:45,Very Satisfied,71756322_2022_02_b,,,,,,,,,quick arrival,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828266327_8094
12/27/2022 8:44,Satisfied,71882835_2022_03_n,,,,,,,,,,,No,Yes,Yes,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828437842_18642
12/27/2022 8:44,Satisfied,71830641_2022_08_1,,The books that I wanted for my 10 pack had to be changed and the title didn't fit my group of students.  I maybe would have been able to choose or wait until the next month.  Not sure...,,,,,Other,I didn't especially like the 10 book choice that was chosen for me due to lack of books.,,,Yes,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828193606_2855
12/27/2022 8:42,Very Dissatisfied,71827041_2022_08_1,,,,,Haven't Received Package,,,"My books were scheduled to arrive 12/12; however, they had not come by 12/20, which was our last day of school.  They were Christmas gifts for my students.",,,Yes,No,,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828267924_8253
12/27/2022 8:40,Very Dissatisfied,71809020_2022_03_9,,My order has incorrect items and/or missing items.,"Incorrect, Duplicate, and/or Missing Items",,,,,I still have not received my book,,Still waiting for the book that I had to reorder as it was missing from my initial order,Yes,No,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828142233_57
12/27/2022 8:37,Satisfied,71824546_2022_03_k,,My items are damaged.,,Damaged Items,,,,One of my books arrived all mangled and folded. That was sad. Perhaps different packing so it could not shift around..?,,Please bring back more dollar books without having to spend a significant amount first or more 2 dollar books…trying to buy for a whole class can be expensive.,Yes,Yes,Yes,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828396376_16434
12/27/2022 8:29,Somewhat Dissatisfied,71822679_2022_08_1,,,,,,,,"Received notice that box would be delivered “next day.”  Did not receive the box for 6 more days. By that time, school had let out for the holiday break. My student will get her holiday books after we return from the holiday break. Not ideal.",,More accurately tracking information and timely delivery would be helpful.,No,No,No,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828413440_17478
12/27/2022 8:28,Satisfied,71821555_2022_04_k,,,,,,,,Shipping is wasteful - one big box for a two small books.,,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828283390_9469
12/27/2022 8:27,Very Satisfied,71863379_2022_04_x,,,,,,,,,My order came quickly and was complete. Students received their books in time for Christmas break.,"I appreciate that Scholastic has been upfront and honest in their dealings with us. I know it was a difficult year last year, but I always believed that you were doing everything you could to stay the company that we as teachers have come to know and love. Thank you for helping me be able to provide great books for my students.",No,Yes,Yes,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828204480_3479
12/27/2022 8:17,Very Dissatisfied,71878044_2022_04_x,,I have not received a package.,,,Haven't Received Package,,,Better communication with shipping and shipping issues. Do not send an email with tracking information if the package has not been shipped.,,Very disappointed. I ordered books for my students as a holiday gift on 12/6. On 12/7 I received that they had shipped and would be delivered by 12/8. When I tracked the shipment and it said processing for 2 weeks. I have still not received the package. If there was an issue with the shipment it would have been nice to get an email explaining the issue.,Yes,No,No,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828332401_12475
12/27/2022 8:16,Very Satisfied,71838394_2022_04_j,,,,,,,,,Accurate order,,No,Yes,Yes,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828288411_9694
12/27/2022 8:15,Very Satisfied,71834818_2022_03_s,,,,,,,,,I received the order in a timely manner!,Great prices,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828227224_5254
12/27/2022 8:10,Satisfied,71847835_2022_04_k,,,,,,,,Received the order in a timely manner and am satisfied with overall service.,,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828216155_4429
12/27/2022 8:10,Very Satisfied,71822394_2022_04_k,,,,,,,,,quick delivery,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828236436_5884
12/27/2022 8:08,Satisfied,71815549_2022_04_k,,,,,,,,I would Love if there was a way that you could have live links within the online flyers. I know that is a lot of live links but it would be so nice to be able to judge a book by its cover to order.,,You can tell you guys have been trying to keep up and work through all the challenges the last few years have thrown at you.,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828332252_12415
12/27/2022 8:05,Very Satisfied,300133048_2022_03_l,,,,,,,,,My order was lost in the mail and Scholastic was immediately on it and sent me a complete new order promptly,N/A,No,Yes,No,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828250350_7061
12/27/2022 7:59,Very Satisfied,71847611_2022_01_d,,,,,,,,,It was fast,"I'd love it if you had more choices in books. And, if you would please bring back The Land of Stories series. Thanks!",No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828331602_12354
12/27/2022 7:55,Very Satisfied,71818604_2022_04_k,,,,,,,,,"Wide variety, good quality, low price, and prompt delivery.",,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828426197_18170
12/27/2022 7:53,Very Satisfied,71812075_2022_04_k,,I meant to press NO. I did not have any issues with my order.,,,,,Other,,The ease of locating the book I wanted and the timely delivery.,,Yes,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828193873_3090
12/27/2022 7:47,Very Satisfied,71822996_2022_08_1,,,,,,,,,Prompt delivery,Much improvement from last year!  Thank you,No,Yes,Yes,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828288308_9629
12/27/2022 7:45,Very Satisfied,71811095_2022_04_k,,,,,,,,,Fast delivery,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828457365_20138
12/27/2022 7:42,Satisfied,71823921_2022_04_k,,,,,,,,It was great!,,,No,No,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828373156_15081
12/27/2022 7:40,Neutral,71834601_2022_04_j,,,,,,,,Let me know if a book box is getting sent to school or a student’s home. How do I figure that out?,,I was confused on how to check if it got sent to school or a student’s home,No,Yes,No,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828259673_7610
12/27/2022 7:40,Satisfied,71863453_2022_08_1,,,,,,,,,,,No,Yes,Yes,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828462056_20656
12/27/2022 7:39,Very Satisfied,71838768_2022_01_o,,,,,,,,,Very fast! So happy things are back to normal!,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828413261_17409
12/27/2022 7:20,Very Satisfied,71838628_2022_08_1,,,,,,,,,On time delivery and all items ordered delivered without substitutions,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828366046_14403
12/27/2022 7:20,Very Satisfied,71829429_2022_04_k,,My order has incorrect items and/or missing items.,"Incorrect, Duplicate, and/or Missing Items",,,,,,It was quick and sent to the correct address which had been a problem when I moved location.,I wish the puzzles would come back as an ordering item.,Yes,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828227787_5459
12/27/2022 7:17,Very Satisfied,71827694_2022_04_y,,,,,,,,,My complete order arrived much sooner than expected.,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828238771_6204
12/27/2022 7:15,Satisfied,71864066_2022_04_j,,,,,,,,To be able to use the points earned towards the current order.  Also to redeem points towards a purchase.,,,No,Yes,Yes,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828357687_13895
12/27/2022 6:58,Satisfied,71816523_2022_03_x,,,,,,,,"Everything was great, but the book was smaller than expected.",,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828181464_2376
12/27/2022 6:56,Satisfied,300133148_2022_03_x,,My order has incorrect items and/or missing items.,"Incorrect, Duplicate, and/or Missing Items",,,,,I received the wrong book for a student that ordered online.,,,Yes,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828142658_288
12/27/2022 6:48,Very Satisfied,71821178_2022_04_k,,,,,,,,,,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828521789_24511
12/27/2022 6:32,Very Satisfied,71829292_2022_04_j,,,,,,,,,"Fast, easy website, received emails telling me package was on its way",,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828326951_12062
12/27/2022 6:32,Very Dissatisfied,71844890_2022_04_x,,My items are damaged.,,Damaged Items,,,,Nothing. The site has improved cover the years.,,I had one book that was bent. It was a Pokémon book.,Yes,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828247519_6672
12/27/2022 6:26,Very Dissatisfied,71866910_2022_04_y,,,,,,,,"Delivered my package earlier. It arrived on Friday, 12/23- and my students therefore didn't get their books before the break. The delivery was guaranteed by your company to arrive earlier. I would not have placed the order if I knew it would be so late. I will likely not offer the book ordering to my class in the future.",,"I could track it, but it said it was out for delivery for many days- over a week I think. So...the tracking wasn't helpful.",No,No,No,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828498416_22885
12/27/2022 6:22,Satisfied,71847929_2022_04_k,,,,,,,,"more accurate reading levels for parent-customers, high-quality nonfiction texts for primary readers (early first grade/kinder don't have high-quality, readable nonfiction texts available), beginning chapter books (although your selection of graphic novels at this reading level is improving and already excellent)",,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828303944_10968
12/27/2022 6:15,Satisfied,71823222_2022_08_1,,,,,,,,,,I am so glad that Scholastic seems to be getting back to what it used to be.,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828266288_8068
12/27/2022 6:03,Very Satisfied,300133563_2022_01_6,,,,,,,,,I love the selection.,I would love to be able to purchase Dr. Seuss books from you!,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828238661_6168
12/27/2022 3:13,Very Satisfied,71826378_2022_08_1,,,,,,,,,The fast shipping/processing time,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828427039_18251
12/27/2022 2:39,Very Satisfied,71800578_2022_08_1,,,,,,,,,Mailed to me quickly,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828142313_89
12/27/2022 2:31,Very Satisfied,71820018_2022_04_k,,,,,,,,Nothing,Fast shipping,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828462994_20748
12/27/2022 1:40,Very Satisfied,71832057_2022_04_j,,My order has incorrect items and/or missing items.,"Incorrect, Duplicate, and/or Missing Items",,,,,,The quick response to my needs and FAST delivery,"While my order WAS missing items, it was rectified immediately and customer service was very prompt and helpful!!",Yes,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828227908_5521
12/26/2022 23:43,Very Satisfied,71817331_2022_04_x,,,,,,,,,Easy to order and books came quickly.,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828142787_349
12/26/2022 23:35,Satisfied,71851872_2022_03_j,,,,,,,,,,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828280961_9216
12/26/2022 23:33,Very Satisfied,71832999_2022_04_y,,,,,,,,,I was able to use points to make my purchase and it was delivered very quickly. Thanks!,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828320126_11966
12/26/2022 23:33,Satisfied,71883204_2022_04_j,,,,,,,,Offer more holiday books throughout the year. For example don’t offer Easter only in the spring.,,Always happy with my orders :/),No,Yes,Yes,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828295144_10344
12/26/2022 23:26,Somewhat Dissatisfied,71818204_2022_03_s,,,,,,,,"The fault is not with you. I ordered my books in plenty of time to be delivered before Christmas break, however I never received them.  Not sure where they are. I am hoping they show up after break.",,,No,No,No,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828181386_2344
12/26/2022 22:58,Somewhat Dissatisfied,71899268_2022_03_j,,,,,,,,More timely delivery or at least accurate delivery date.,,,No,No,Yes,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828314719_11596
12/26/2022 22:46,Very Satisfied,71877716_2022_03_y,,,,,,,,,,,No,Yes,Yes,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828355364_13702
